seed,final_equity,oos_wealth_x,n_bridges_admitted,n_skip_cap,n_degenerate,n_collision,n_forced_delev,worst_margin_to_equity,trip_maintenance,trip_drift,flag_low_admission
127,892463.09,1.962,685,185,0,723,2,0.7636,False,False,True
128,452298.9,1.339,678,192,0,787,2,0.7674,False,False,True
129,345878.47,1.027,657,213,0,715,0,0.7653,False,False,True
130,355540.79,1.362,682,188,0,709,2,0.7655,False,False,True
131,727158.82,1.997,695,175,0,703,3,0.7657,False,False,True
132,549484.11,1.476,687,183,0,695,1,0.7664,False,False,True
133,414114.78,1.085,682,188,0,775,4,0.762,False,False,True
134,564624.6,1.225,677,193,0,735,0,0.7655,False,False,True
135,375400.53,1.473,651,219,0,703,2,0.7654,False,False,True
136,607178.57,1.988,704,166,0,720,5,0.7591,False,False,True
137,326172.77,1.29,677,193,0,727,0,0.7672,False,False,True
138,515547.37,1.757,693,177,0,748,5,0.757,False,False,True
139,441356.96,1.503,676,194,0,741,2,0.765,False,False,True
140,569559.21,1.806,687,183,0,760,3,0.765,False,False,True
141,528577.57,1.551,665,205,0,740,4,0.7644,False,False,True
142,420310.26,1.181,692,178,0,767,6,0.7658,False,False,True
143,399438.96,1.604,676,194,0,787,2,0.7642,False,False,True
144,416225.6,1.248,717,153,0,742,2,0.7665,False,False,True
145,731710.15,1.666,699,171,0,718,6,0.7656,False,False,True
146,687391.36,1.546,691,179,0,774,2,0.7675,False,False,True
147,444340.18,1.573,685,185,0,666,2,0.7657,False,False,True
148,673488.56,1.655,684,186,0,718,1,0.7663,False,False,True
149,472409.33,1.526,676,194,0,687,5,0.7653,False,False,True
150,873359.03,1.725,692,178,0,792,6,0.7656,False,False,True
151,616453.84,1.822,701,169,0,775,4,0.747,False,False,True
152,690151.16,1.336,715,155,0,759,0,0.7639,False,False,True
153,488004.99,1.323,664,206,0,779,9,0.7585,False,False,True
154,438349.0,1.304,681,189,0,732,3,0.7629,False,False,True
155,345318.17,1.502,662,208,0,733,3,0.7647,False,False,True
156,507558.89,1.467,669,201,0,743,3,0.7646,False,False,True
157,329583.64,1.12,692,178,0,739,3,0.767,False,False,True
158,228478.94,1.172,679,191,0,785,8,0.7653,False,False,True
159,370547.74,1.313,690,180,0,752,3,0.7669,False,False,True
160,524908.66,1.429,668,202,0,740,7,0.7652,False,False,True
161,709052.62,2.176,698,172,0,733,5,0.7594,False,False,True
162,494580.61,1.661,699,171,0,706,2,0.7611,False,False,True
163,705734.66,1.865,685,185,0,731,2,0.7668,False,False,True
164,431123.19,1.337,667,203,0,746,3,0.7645,False,False,True
165,493857.81,1.529,684,186,0,717,2,0.7664,False,False,True
166,1017253.47,2.121,681,189,0,707,1,0.761,False,False,True
167,518324.0,1.483,687,183,0,745,3,0.7641,False,False,True
168,345690.43,1.239,671,199,0,728,4,0.7647,False,False,True
169,617357.46,1.738,687,183,0,727,6,0.7646,False,False,True
170,630943.19,1.711,698,172,0,722,3,0.7652,False,False,True
171,619468.36,1.787,657,213,0,724,5,0.7665,False,False,True
172,610838.06,1.884,673,197,0,779,2,0.7642,False,False,True
173,550066.65,1.909,726,144,0,726,7,0.7617,False,False,True
174,824414.84,1.991,688,182,0,723,2,0.7601,False,False,True
175,1082391.62,2.036,702,168,0,701,4,0.7612,False,False,True
176,797421.34,1.656,692,178,0,766,4,0.7667,False,False,True
177,663639.92,1.564,693,177,0,760,4,0.7663,False,False,True
178,780550.5,1.775,683,187,0,747,1,0.7653,False,False,True
179,525717.88,1.501,661,209,0,707,3,0.766,False,False,True
180,602125.68,1.493,684,186,0,796,4,0.7651,False,False,True
181,633078.55,1.555,673,197,0,787,5,0.7644,False,False,True
182,383908.13,1.399,677,193,0,736,2,0.7638,False,False,True
183,550337.56,1.39,698,172,0,770,0,0.7587,False,False,True
184,493702.31,1.475,663,207,0,739,3,0.7674,False,False,True
185,473549.08,2.027,682,188,0,797,3,0.7604,False,False,True
186,502728.06,1.327,683,187,0,750,5,0.7623,False,False,True
187,421420.32,1.29,669,201,0,761,3,0.7662,False,False,True
188,609777.3,1.432,694,176,0,719,3,0.7645,False,False,True
189,535036.16,1.592,685,185,0,781,3,0.7642,False,False,True
190,651532.0,2.207,700,170,0,671,4,0.7634,False,False,True
