cell,month,X_bps,Z_bench_bps,REV_bench_bps,d1_d10_bps,crisis
AREA_EP_f5,2022-03,-106.71534380722652,-130.41765160757942,-272.5988562674491,-136.95528413575204,True
AREA_EP_f5,2022-04,35.64425471836779,-41.38503264617563,11.953004892967453,-150.10996487881783,True
AREA_EP_f5,2022-05,7.188909844133215,-38.574819527466836,-30.165206541207464,0.19958198140055186,True
AREA_EP_f5,2022-06,-48.02926795157713,-141.26481123356808,-99.68478051432821,-7.28150045139854,True
AREA_EP_f5,2022-07,59.672395193752216,70.21577628037834,19.10520708288951,70.12020160515624,True
AREA_EP_f5,2022-08,86.3479173462229,0.29240040344897383,48.83107616403332,283.5563408509703,True
AREA_EP_f5,2022-09,-159.57579404410862,-331.02404752291056,-21.000459374654888,-297.71714917716787,True
AREA_EP_f5,2022-10,-267.32858137289764,-158.380587856986,-286.304926010295,-286.00305224578364,True
AREA_EP_f5,2022-11,-156.455599078667,-185.92519947933587,-144.77497108867087,-173.8395545318523,True
AREA_EP_f5,2022-12,-7.564210886479607,-58.49611036587311,248.0735785006873,-7.586335370860821,True
AREA_EP_f5,2023-01,-111.15129784900886,-46.63108567051836,-136.6387976471012,-135.9776660650483,False
AREA_EP_f5,2023-02,-74.33007433795986,-54.49522810367542,-28.407968541690888,-160.07707097711128,False
AREA_EP_f5,2023-03,-34.50624358888381,-9.543586856406465,-78.21797711082046,-36.69592477842924,False
AREA_EP_f5,2023-04,-67.82495671946626,-13.96173114680193,-75.8787732787235,-110.40565713478385,False
AREA_EP_f5,2023-05,58.5119947446304,-202.78469689599456,174.39963999484635,165.8559773502917,False
AREA_EP_f5,2023-06,43.861272843489175,-61.23205073213993,-19.599850414023233,37.6506734337528,False
AREA_EP_f5,2023-07,-102.0733706876401,-9.889218349694445,-96.22545594829606,-101.34640729670718,False
AREA_EP_f5,2023-08,-156.95374911743468,-42.61981101732426,-119.59778072926117,-162.02018607294173,False
AREA_EP_f5,2023-09,-158.51033066623734,-123.66440822239741,-155.4152645965327,-225.04790781207453,False
AREA_EP_f5,2023-10,54.89085767152159,3.401714231486899,205.5260826110656,143.79393435236153,False
AREA_EP_f5,2023-11,-242.15670102621246,-196.92783292994326,-211.62814807443695,-269.2567825860931,False
AREA_EP_f5,2023-12,131.05989377471488,51.89795743948008,3.241077472600005,157.51603411444918,False
AREA_EP_f5,2024-01,-163.57473438184797,-67.61885472377698,11.515345837352971,-237.2458137233841,False
AREA_EP_f5,2024-02,-117.40530636022676,-138.4329224258891,-56.42088817323053,-135.7336755871758,False
AREA_EP_f5,2024-03,-153.87563915594134,-106.74332718999257,-181.35168934710532,-168.62119732231992,False
AREA_EP_f5,2024-04,17.425197738184966,80.86839736180292,70.62704299465786,71.79463660743377,False
AREA_EP_f5,2024-05,-31.271937022197246,65.46127731100749,47.85511174318035,-35.6579933581288,False
AREA_EP_f5,2024-06,-73.77026622531609,-8.22263766205987,43.55157846901503,-96.66001761792658,False
AREA_EP_f5,2024-07,-302.6886763064715,-241.95176151150133,-364.2294197266799,-377.6975739626568,False
AREA_EP_f5,2024-08,-90.65985446971084,-112.0707066976375,-258.5815315192404,-100.59795932209525,False
AREA_EP_f5,2024-09,-100.34416095447538,-88.56181092797571,119.14746232427801,-115.13636266884627,False
AREA_EP_f5,2024-10,-304.3078636364113,-134.34163888745798,-178.06440547082755,-419.4264078883428,False
AREA_EP_f5,2024-11,-38.836077943148524,40.76028359977175,62.496124636517386,-37.19671815620135,False
AREA_EP_f5,2024-12,23.21448031075231,32.72109194316849,137.29999042934043,-1.3774018606647116,False
AREA_EP_f5,2025-01,84.2106520739935,-41.04901024064955,24.014897895922132,65.89200654802397,False
AREA_EP_f5,2025-02,43.98256609353963,-103.8763895007358,-109.64995084683255,-64.85035487444591,False
AREA_EP_f5,2025-03,-94.75458635562275,-141.5756083886237,-188.1460779800538,-186.54267625620474,False
AREA_EP_f5,2025-04,-215.94482341565072,-130.9695971498212,-152.68874615394765,-245.00597697737825,False
AREA_EP_f5,2025-05,-59.3461245146475,70.53019731931937,-19.242135465357137,-33.17188363745647,False
AREA_EP_f5,2025-06,-143.4129148468383,114.83099335948698,-83.90519574745437,-139.6472142611988,False
AREA_EP_f5,2025-07,-42.547611701927956,-47.898066061800954,-149.4563963778506,-86.55217728936542,False
AREA_EP_f5,2025-08,-47.919710492726715,1.978273008300278,-51.83402161553476,-50.732668109661354,False
AREA_EP_f5,2025-09,-97.89974630974383,-97.30902405852913,-39.698882327309086,-155.26352822883334,False
AREA_EP_f5,2025-10,85.04107369898107,-6.621033309047503,-74.06860719580803,104.97460657042787,False
AREA_EP_f5,2025-11,237.1902458938138,132.52692665441475,200.94066542830697,280.5024774474784,False
