arm,null,seed,final_equity
ADDS_LEAN_SELECT,N2,111,595914.73
ADDS_LEAN_SELECT,N2,112,577962.84
ADDS_LEAN_SELECT,N2,113,578925.81
ADDS_LEAN_SELECT,N2,114,552887.57
ADDS_LEAN_SELECT,N2,115,591381.98
ADDS_LEAN_SELECT,N2,116,580348.99
ADDS_LEAN_SELECT,N2,117,529503.14
ADDS_LEAN_SELECT,N2,118,619775.36
ADDS_LEAN_SELECT,N2,119,613835.64
ADDS_LEAN_SELECT,N2,120,567131.94
ADDS_LEAN_SELECT,N2,121,552887.57
ADDS_LEAN_SELECT,N2,122,544571.28
ADDS_LEAN_SELECT,N2,123,544037.7
ADDS_LEAN_SELECT,N2,124,552887.57
ADDS_LEAN_SELECT,N2,125,543660.96
ADDS_LEAN_SELECT,N2,126,476939.07
ADDS_LEAN_SELECT,N2,127,498357.6
ADDS_LEAN_SELECT,N2,128,566376.98
ADDS_LEAN_SELECT,N2,129,556983.66
ADDS_LEAN_SELECT,N2,130,545188.83
ADDS_LEAN_SELECT,N2,131,533870.17
ADDS_LEAN_SELECT,N2,132,549340.94
ADDS_LEAN_SELECT,N2,133,582999.06
ADDS_LEAN_SELECT,N2,134,570870.3
ADDS_LEAN_SELECT,N2,135,590403.13
ADDS_LEAN_SELECT,N2,136,541780.75
ADDS_LEAN_SELECT,N2,137,591381.98
ADDS_LEAN_SELECT,N2,138,549340.94
ADDS_LEAN_SELECT,N2,139,591381.98
ADDS_LEAN_SELECT,N2,140,591381.98
ADDS_LEAN_SELECT,N2,141,664446.42
ADDS_LEAN_SELECT,N2,142,556587.56
ADDS_LEAN_SELECT,N2,143,605150.33
ADDS_LEAN_SELECT,N2,144,540420.86
ADDS_LEAN_SELECT,N2,145,577896.49
ADDS_LEAN_SELECT,N2,146,549889.17
ADDS_LEAN_SELECT,N2,147,542980.07
ADDS_LEAN_SELECT,N2,148,592577.53
ADDS_LEAN_SELECT,N2,149,591381.98
ADDS_LEAN_SELECT,N2,150,546656.12
ADDS_LEAN_SELECT,N2,151,554922.22
ADDS_LEAN_SELECT,N2,152,552473.99
ADDS_LEAN_SELECT,N2,153,602682.94
ADDS_LEAN_SELECT,N2,154,548837.32
ADDS_LEAN_SELECT,N2,155,538124.33
ADDS_LEAN_SELECT,N2,156,576962.05
ADDS_LEAN_SELECT,N2,157,545188.83
ADDS_LEAN_SELECT,N2,158,564610.52
ADDS_LEAN_SELECT,N2,159,624097.05
ADDS_LEAN_SELECT,N2,160,643714.4
ADDS_LEAN_SELECT,N2,161,591381.98
ADDS_LEAN_SELECT,N2,162,580202.46
ADDS_LEAN_SELECT,N2,163,646916.58
ADDS_LEAN_SELECT,N2,164,552887.57
