run,date,equity,n_pos
ALL_EW_ALL,2020-12-18,160496.73,231
ALL_EW_ALL,2020-12-21,159293.62,236
ALL_EW_ALL,2020-12-22,158908.91,234
ALL_EW_ALL,2020-12-23,159427.01,238
ALL_EW_ALL,2020-12-24,159887.5,252
ALL_EW_ALL,2020-12-28,160162.11,256
ALL_EW_ALL,2020-12-29,159472.03,273
ALL_EW_ALL,2020-12-30,160328.98,273
ALL_EW_ALL,2020-12-31,161467.05,287
ALL_EW_ALL,2021-01-04,158710.79,316
ALL_EW_ALL,2021-01-05,160166.0,321
ALL_EW_ALL,2021-01-06,163940.32,340
ALL_EW_ALL,2021-01-07,165214.64,368
ALL_EW_ALL,2021-01-08,165304.13,368
ALL_EW_ALL,2021-01-11,165207.14,360
ALL_EW_ALL,2021-01-12,166740.29,354
ALL_EW_ALL,2021-01-13,166253.64,357
ALL_EW_ALL,2021-01-14,167013.67,341
ALL_EW_ALL,2021-01-15,165725.11,336
ALL_EW_ALL,2021-01-19,166460.55,326
ALL_EW_ALL,2021-01-20,167656.23,323
ALL_EW_ALL,2021-01-21,166770.59,326
ALL_EW_ALL,2021-01-22,165971.7,323
ALL_EW_ALL,2021-01-25,165826.95,320
ALL_EW_ALL,2021-01-26,165194.42,325
ALL_EW_ALL,2021-01-27,161832.98,325
ALL_EW_ALL,2021-01-28,163466.43,320
ALL_EW_ALL,2021-01-29,160332.55,316
ALL_EW_ALL,2021-02-01,162129.44,310
ALL_EW_ALL,2021-02-02,164368.5,311
ALL_EW_ALL,2021-02-03,165001.97,328
ALL_EW_ALL,2021-02-04,167163.44,336
ALL_EW_ALL,2021-02-05,168138.95,361
ALL_EW_ALL,2021-02-08,170086.96,374
ALL_EW_ALL,2021-02-09,169939.47,389
ALL_EW_ALL,2021-02-10,170521.7,389
ALL_EW_ALL,2021-02-11,170600.77,396
ALL_EW_ALL,2021-02-12,171548.9,401
ALL_EW_ALL,2021-02-16,171869.99,399
ALL_EW_ALL,2021-02-17,171760.76,394
ALL_EW_ALL,2021-02-18,170903.22,389
ALL_EW_ALL,2021-02-19,172302.24,385
ALL_EW_ALL,2021-02-22,173010.49,384
ALL_EW_ALL,2021-02-23,173801.91,376
ALL_EW_ALL,2021-02-24,176394.29,375
ALL_EW_ALL,2021-02-25,172577.42,375
ALL_EW_ALL,2021-02-26,171205.69,340
ALL_EW_ALL,2021-03-01,174908.34,333
ALL_EW_ALL,2021-03-02,174357.82,339
ALL_EW_ALL,2021-03-03,173476.93,336
ALL_EW_ALL,2021-03-04,171276.15,333
ALL_EW_ALL,2021-03-05,175346.09,330
ALL_EW_ALL,2021-03-08,176586.81,347
ALL_EW_ALL,2021-03-09,176796.39,352
ALL_EW_ALL,2021-03-10,178622.9,347
ALL_EW_ALL,2021-03-11,179476.76,351
ALL_EW_ALL,2021-03-12,180672.75,357
ALL_EW_ALL,2021-03-15,182454.95,361
ALL_EW_ALL,2021-03-16,180955.18,366
ALL_EW_ALL,2021-03-17,181811.62,353
ALL_EW_ALL,2021-03-18,179973.62,349
ALL_EW_ALL,2021-03-19,179904.38,341
ALL_EW_ALL,2021-03-22,180420.53,333
ALL_EW_ALL,2021-03-23,177971.56,331
ALL_EW_ALL,2021-03-24,177802.1,327
ALL_EW_ALL,2021-03-25,179796.1,319
ALL_EW_ALL,2021-03-26,183388.07,320
ALL_EW_ALL,2021-03-29,182501.46,348
ALL_EW_ALL,2021-03-30,182634.05,335
ALL_EW_ALL,2021-03-31,182563.94,304
ALL_EW_ALL,2021-04-01,184717.98,293
ALL_EW_ALL,2021-04-05,186306.03,294
ALL_EW_ALL,2021-04-06,186548.1,302
ALL_EW_ALL,2021-04-07,185896.03,296
ALL_EW_ALL,2021-04-08,186226.56,278
ALL_EW_ALL,2021-04-09,187411.07,271
ALL_EW_ALL,2021-04-12,187660.24,275
ALL_EW_ALL,2021-04-13,187186.69,267
ALL_EW_ALL,2021-04-14,188005.28,259
ALL_EW_ALL,2021-04-15,188984.13,252
ALL_EW_ALL,2021-04-16,189750.79,252
ALL_EW_ALL,2021-04-19,189025.73,262
ALL_EW_ALL,2021-04-20,186707.43,250
ALL_EW_ALL,2021-04-21,189801.16,236
ALL_EW_ALL,2021-04-22,188500.37,237
ALL_EW_ALL,2021-04-23,190788.09,223
ALL_EW_ALL,2021-04-26,191495.14,223
ALL_EW_ALL,2021-04-27,192004.16,224
ALL_EW_ALL,2021-04-28,192571.27,221
ALL_EW_ALL,2021-04-29,193951.16,222
ALL_EW_ALL,2021-04-30,192136.18,230
