ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
NRG,2017-09-21,23.94,15874.38,1.25,-0.02813,2017-09-20,2017-11-10,27.75,0.1428,4108.93
TJX,2017-10-24,36.14,12362.61,1.1875,-0.03003,2017-09-26,2017-12-11,36.87,0.0072,205.21
PG,2017-11-10,87.99,15078.32,1.1875,-0.03144,2017-10-16,2017-11-20,88.43,-0.021,-564.43
CVS,2017-11-15,70.0,14882.53,1.1875,-0.03144,2017-11-14,2017-12-05,71.92,0.0188,544.07
VZ,2017-11-21,46.34,15159.42,1.1875,-0.03144,2017-10-20,2017-12-21,52.81,0.1055,2996.61
AMD,2017-12-18,10.6,16304.86,1.1875,-0.02971,2017-10-04,2018-01-10,11.63,-0.0025,-42.59
CSX,2017-12-26,18.3567,13333.63,1.1875,-0.02971,2017-10-18,2018-01-11,19.54,0.071,1900.12
M,2018-02-13,24.14,17041.94,1.1875,-0.02571,2018-01-11,2018-03-09,29.31,0.1839,5830.08
MU,2018-02-13,42.05,17040.93,1.1875,-0.02571,2018-01-18,2018-02-22,44.78,0.0398,1295.18
NWL,2018-02-13,27.04,11631.86,1.1875,-0.02571,2018-02-08,2018-12-06,23.28,-0.178,-4640.75
PFE,2018-02-22,35.87,17753.29,1.1875,-0.02571,2018-01-17,2018-03-01,36.12,-0.0057,-153.69
SCHW,2018-02-22,52.69,15247.0,1.1875,-0.02571,2018-02-02,2018-03-15,56.32,0.0479,1479.43
EXC,2018-02-23,37.36,15439.99,1.1875,-0.02571,2018-02-01,2018-03-20,38.29,0.0085,290.26
KIM,2018-03-19,14.46,20751.01,1.3125,-0.03454,2018-03-01,2018-05-01,14.52,-0.009,-288.21
VZ,2018-03-29,48.2,17190.11,1.3125,-0.03454,2018-03-09,2018-04-27,50.25,0.0314,1065.56
NVDA,2018-04-16,5.7943,16222.43,1.25,-0.04025,2018-03-21,2018-05-16,6.1,0.0156,525.11
F,2018-05-01,11.25,19707.43,1.25,-0.03799,2018-04-27,2018-06-12,12.07,0.0656,2352.63
GGP,2018-05-02,19.78,19682.19,1.25,-0.03799,2018-05-01,2018-08-27,22.06,0.1082,3873.21
NEE,2018-05-24,40.0325,20200.76,1.25,-0.03799,2018-04-27,2018-06-04,40.6275,0.0068,280.92
MRO,2018-06-15,21.01,21021.0,1.3125,-0.03784,2018-06-12,2018-08-31,21.51,0.0129,523.23
HST,2018-07-25,21.12,19840.57,1.3125,-0.03556,2018-07-20,2018-08-06,21.56,0.0137,539.02
BKNG,2018-08-22,75.9776,21929.44,1.3125,-0.03565,2018-08-07,2019-04-17,73.9452,-0.0669,-2562.5
F,2018-08-31,9.64,22346.55,1.3125,-0.03565,2018-08-28,2018-11-12,9.38,-0.0463,-1787.43
GILD,2018-09-17,73.5,22155.88,1.3125,-0.03644,2018-08-31,2018-10-05,76.77,0.0267,1085.55
BAC,2018-10-08,30.05,21639.3,1.3125,-0.03661,2018-10-05,2018-11-12,28.38,-0.0639,-2419.66
KMI,2018-12-03,17.22,20178.18,1.1875,-0.05787,2018-08-07,2019-02-07,18.02,0.0235,908.83
TXN,2018-12-17,94.28,10948.72,1.1875,-0.05787,2018-11-21,2019-01-15,96.99,0.006,188.9
BMY,2019-01-17,49.16,18867.78,1.1875,-0.07463,2019-01-16,2019-03-07,52.7,0.0661,2342.15
CVS,2019-01-25,65.57,6847.67,1.1875,-0.07463,2019-01-24,2019-05-06,55.97,-0.1466,-3340.59
WMT,2019-02-11,31.8833,18811.16,1.125,-0.07111,2019-02-08,2019-02-21,33.22,0.0374,1364.75
WY,2019-02-22,25.81,19019.11,1.125,-0.07111,2019-02-21,2019-04-09,26.96,0.0433,1600.34
DWDP,2019-04-02,36.52,19286.42,1.1875,-0.06917,2019-02-21,2019-05-31,30.52,-0.3028,-10977.14
CNC,2019-04-12,55.32,20003.64,1.1875,-0.06917,2019-04-09,2019-05-10,54.99,-0.0153,-525.16
BA,2019-04-18,377.52,19309.89,1.1875,-0.06917,2019-04-17,2019-06-20,373.0,-0.0208,-709.19
AMD,2019-05-09,26.7,16734.59,1.1875,-0.06948,2019-05-03,2019-06-13,32.39,0.178,5932.1
CVX,2019-06-06,118.21,15095.75,1.1875,-0.06831,2019-05-10,2019-06-20,124.31,0.0373,1193.1
VZ,2019-07-18,57.22,21502.27,1.1875,-0.0689,2019-06-20,2019-09-17,59.32,0.0302,1216.22
MRO,2019-07-23,13.65,21675.46,1.1875,-0.0689,2019-06-21,2019-09-18,12.9,-0.0727,-2798.92
JNJ,2019-07-31,131.64,20805.92,1.1875,-0.0689,2019-07-09,2019-11-19,135.0,-0.0087,-301.03
WBA,2019-08-14,52.44,20718.81,1.25,-0.06871,2019-05-06,2019-09-18,54.64,0.0301,1144.37
AMD,2019-09-19,30.57,18167.61,1.25,-0.07047,2019-09-17,2019-10-30,32.93,0.0673,2523.12
FTNT,2019-09-27,15.826,17802.97,1.25,-0.07047,2019-09-17,2019-11-01,17.732,0.1138,4196.46
KMI,2019-11-07,20.34,24035.14,1.25,-0.06695,2019-11-04,2020-01-03,21.07,0.0304,1359.11
F,2019-11-08,8.9,18565.61,1.25,-0.06695,2019-11-04,2019-12-18,9.39,0.0522,2013.82
NEM,2019-11-19,38.03,24255.77,1.25,-0.06695,2019-09-18,2019-12-09,40.12,0.0367,1605.47
PM,2019-12-03,82.9965,14434.29,1.25,-0.06843,2019-09-26,2020-04-08,75.17,-0.0406,-1297.03
WMT,2019-12-10,39.7833,22898.27,1.25,-0.06843,2019-11-07,2020-02-20,39.07,-0.0213,-857.15
VZ,2020-02-12,58.58,25563.27,1.25,-0.06676,2020-01-29,2020-04-22,57.41,-0.0371,-1658.3
AAPL,2020-03-05,73.88,22033.84,1.1875,-0.07445,2020-02-20,2020-04-22,68.4025,-0.1123,-4711.24
HBAN,2020-04-24,8.1,20215.7,1.25,-0.08393,2020-04-23,2020-05-04,8.34,0.0419,1554.75
OXY,2020-05-22,14.16,22068.31,1.1875,-0.08349,2020-02-20,2020-06-11,17.84,-0.1441,-6063.11
GILD,2020-06-02,74.37,23705.99,1.25,-0.08232,2020-06-01,2021-01-14,61.64,-0.1773,-7437.3
PFE,2020-06-09,36.5,21667.08,1.25,-0.08232,2020-05-29,2020-07-15,35.99,-0.036,-1410.48
CRM,2020-06-12,175.9,25602.93,1.25,-0.08232,2020-06-11,2020-06-24,187.51,0.0629,2970.66
AMD,2020-06-15,52.58,25244.54,1.25,-0.08232,2020-06-10,2020-08-18,82.8,0.5136,24466.84
MRO,2020-07-02,6.13,21652.79,1.3125,-0.08009,2020-06-19,2020-11-27,6.46,0.0088,415.8
MS,2020-08-07,49.21,18427.41,1.3125,-0.07655,2020-06-26,2020-11-11,55.94,0.1468,5722.94
TWTR,2020-09-22,40.37,28747.75,1.3125,-0.07537,2020-09-21,2020-09-25,43.21,0.0803,4127.42
ABBV,2020-10-12,88.17,30647.19,1.375,-0.07068,2020-09-01,2020-12-02,104.0,0.1395,7541.88
ORLY,2020-12-04,29.8513,33083.28,1.3125,-0.07275,2020-11-11,2021-01-14,32.224,0.0665,3856.3
AMZN,2021-01-14,158.376,34623.36,1.3125,-0.06922,2020-11-27,2021-04-20,168.68,0.0579,3529.99
MSFT,2021-01-14,215.91,34621.09,1.3125,-0.06922,2020-12-02,2021-02-01,235.06,0.0898,5446.21
NOW,2021-01-14,105.44,34618.82,1.3125,-0.06922,2020-11-18,2021-02-10,117.152,0.1243,7405.76
CMCSA,2021-02-01,49.86,35585.87,1.3125,-0.0682,2021-01-29,2021-02-16,53.0,0.0578,3702.06
CMG,2021-03-03,29.3354,27189.04,1.3125,-0.06725,2021-03-02,2021-04-14,30.719,0.0366,2092.31
AVGO,2021-03-12,44.536,29940.55,1.3125,-0.06725,2021-03-02,2021-03-30,46.388,-0.006,-292.87
ABBV,2021-04-06,105.85,38594.61,1.3125,-0.06763,2021-03-30,2021-05-12,114.85,0.0796,5429.36
T,2021-04-21,29.96,39195.77,1.3125,-0.06763,2021-02-17,2021-04-27,30.84,0.0454,3134.83
NKE,2021-04-28,132.26,21911.35,1.3125,-0.06763,2021-04-13,2021-05-11,138.38,0.0303,1631.09
EBAY,2021-05-12,59.69,40758.3,1.3125,-0.0673,2021-05-11,2021-06-15,66.0,0.1018,7385.39
BMY,2021-05-17,64.84,41350.86,1.3125,-0.0673,2021-05-14,2021-05-26,66.72,0.0255,1925.47
LRCX,2021-05-20,60.76,17029.73,1.3125,-0.0673,2021-04-27,2021-11-11,61.359,-0.031,-1433.09
GILD,2021-06-08,67.44,43927.37,1.3125,-0.06649,2021-06-07,2021-08-20,71.67,0.0605,4787.3
MU,2021-06-17,79.7,43987.9,1.3125,-0.06649,2021-06-16,2021-08-06,81.2,0.0016,200.59
VIAC,2021-07-26,41.03,41248.74,1.3125,-0.06435,2021-05-19,2022-02-16,29.58,-0.2671,-19363.31
NFLX,2021-08-10,52.0,43281.81,1.375,-0.06199,2021-08-06,2021-09-14,58.489,0.1198,9433.44
CCL,2021-09-16,23.11,50471.78,1.4375,-0.05973,2021-09-14,2021-09-30,25.44,0.098,8486.9
VZ,2021-09-30,54.5,51611.62,1.4375,-0.05973,2021-07-08,2021-12-30,52.38,-0.0484,-4037.96
BMY,2021-10-26,57.9,51415.49,1.4375,-0.05978,2021-08-20,2022-01-04,61.5,-0.006,-429.94
