variant,ticker,entry_date,days,last_date,exit_date,exit_reason,trade_ret
SCORE_RS,FTNT,2025-06-18,137,2025-12-31,2026-01-02,index_drop,-0.2255096605491259
SCORE_RS,V,2025-08-15,97,2025-12-31,2026-01-02,index_drop,0.010469465263036604
SCORE_RS,CHTR,2025-09-26,68,2025-12-31,2026-01-02,index_drop,-0.2323902367514482
SCORE_RS,NKE,2025-11-14,33,2025-12-31,2026-01-02,index_drop,-0.014399014399014476
SCORE_RS,PLTR,2025-12-04,20,2025-12-31,2026-01-02,index_drop,0.027981742409208366
SCORE_RS,AMD,2025-12-12,14,2025-12-31,2026-01-02,index_drop,0.002427073315931505
SCORE_RS,EIX,2025-12-15,13,2025-12-31,2026-01-02,index_drop,0.025654094461433408
SCORE_RS,PCG,2025-12-18,10,2025-12-31,2026-01-02,index_drop,0.03121019108280243
SCORE_RS,DOW,2025-12-31,2,2025-12-31,2026-01-02,index_drop,0.0038363171355499937
SCORE_R,TGT,2016-01-05,3,2016-01-06,2016-01-07,rollback,-0.002169785733658669
SCORE_R,EQIX,2016-01-06,3,2016-01-07,2016-01-08,rollback,0.016553197169937306
SCORE_R,EQT,2016-01-08,3,2016-01-11,2016-01-12,rollback,0.010162494231859664
SCORE_R,AAP,2016-01-05,21,2016-02-02,2016-02-03,rollback,-0.005054151624548586
SCORE_R,GPS,2016-01-06,20,2016-02-02,2016-02-03,rollback,-0.055191045928213
SCORE_R,CLX,2016-01-12,16,2016-02-02,2016-02-03,rollback,0.013190758663752966
SCORE_R,DLTR,2016-01-05,22,2016-02-03,2016-02-04,rollback,0.0008830579033687336
SCORE_R,CAT,2016-02-04,6,2016-02-10,2016-02-11,rollback,-0.04229559748427658
SCORE_R,DOW,2016-02-03,8,2016-02-11,2016-02-12,rollback,-0.009840367373715186
SCORE_R,NEM,2016-01-07,34,2016-02-24,2016-02-25,rollback,0.34627659574468006
SCORE_R,RAI,2016-02-12,11,2016-02-26,2016-02-29,rollback,0.034866927996699326
SCORE_R,HAR,2016-01-06,38,2016-02-29,2016-03-01,rollback,-0.17305446438050753
SCORE_R,AON,2016-02-04,18,2016-02-29,2016-03-01,rollback,0.09765580331618118
SCORE_R,BCR,2016-02-11,13,2016-02-29,2016-03-01,rollback,0.04288025889967595
SCORE_R,AIZ,2016-03-02,5,2016-03-07,2016-03-08,rollback,-0.004385363848156798
SCORE_R,COL,2016-01-06,44,2016-03-08,2016-03-09,rollback,-0.03475324109380118
SCORE_R,SIG,2016-03-01,7,2016-03-08,2016-03-09,rollback,-0.005155105363118362
SCORE_R,ANDV,2016-01-05,50,2016-03-15,2016-03-16,rollback,-0.18730129044323884
SCORE_R,PRGO,2016-03-10,5,2016-03-15,2016-03-16,rollback,0.016495157384987635
SCORE_R,SO,2016-03-09,11,2016-03-22,2016-03-23,rollback,0.023809523809523503
SCORE_R,CERN,2016-02-04,35,2016-03-23,2016-03-24,rollback,-0.08218219968525997
SCORE_R,AMT,2016-02-25,21,2016-03-23,2016-03-24,rollback,0.11347597177103164
SCORE_R,APA,2016-02-29,19,2016-03-23,2016-03-24,rollback,0.19042795644466914
SCORE_R,AIV,2016-03-02,18,2016-03-24,2016-03-28,rollback,0.07347439053524862
SCORE_R,AMGN,2016-03-08,21,2016-04-05,2016-04-06,rollback,0.05003744298454649
SCORE_R,ILMN,2016-03-28,8,2016-04-05,2016-04-06,rollback,0.04681612058504192
SCORE_R,NOC,2016-03-16,18,2016-04-08,2016-04-11,rollback,0.05311220741051814
SCORE_R,CELG,2016-03-23,14,2016-04-11,2016-04-12,rollback,0.0061343719571564925
SCORE_R,NEM,2016-04-06,7,2016-04-13,2016-04-14,rollback,0.09333333333333327
SCORE_R,CVX,2016-04-11,12,2016-04-25,2016-04-26,rollback,0.0534737276762669
SCORE_R,EW,2016-03-28,23,2016-04-26,2016-04-27,rollback,0.28099784437560804
SCORE_R,ICE,2016-01-06,79,2016-04-27,2016-04-28,rollback,-0.05317647058823549
SCORE_R,HBI,2016-01-06,81,2016-04-29,2016-05-02,rollback,-0.013229308005427431
SCORE_R,HAL,2016-04-07,20,2016-05-03,2016-05-04,rollback,0.11565193216569325
SCORE_R,NBL,2016-04-12,17,2016-05-03,2016-05-04,rollback,0.10851521672302478
SCORE_R,EQIX,2016-04-26,13,2016-05-11,2016-05-12,rollback,0.04908595400679827
SCORE_R,CVS,2016-05-04,7,2016-05-11,2016-05-12,rollback,0.014281550568347567
SCORE_R,NWL,2016-05-02,11,2016-05-13,2016-05-16,rollback,0.02964726249729499
SCORE_R,CLX,2016-03-17,44,2016-05-17,2016-05-18,rollback,0.01792593757370775
SCORE_R,ARG,2016-03-24,41,2016-05-20,2016-05-20,delisted,0.008963862224731
SCORE_R,MU,2016-04-14,41,2016-06-09,2016-06-10,rollback,0.1417979610750686
SCORE_R,AGN,2016-05-16,19,2016-06-09,2016-06-10,rollback,0.09393128067826817
SCORE_R,WDC,2016-04-27,33,2016-06-10,2016-06-13,rollback,0.04807908335205546
SCORE_R,FE,2016-04-28,32,2016-06-10,2016-06-13,rollback,0.03091521273339426
SCORE_R,ETR,2016-05-04,29,2016-06-13,2016-06-14,rollback,0.026677128285602425
SCORE_R,CVC,2016-03-29,59,2016-06-20,2016-06-20,delisted,0.055387409200968296
SCORE_R,ROST,2016-06-15,15,2016-07-05,2016-07-06,rollback,0.045075125208680955
SCORE_R,ATVI,2016-06-15,17,2016-07-07,2016-07-08,rollback,0.056682267290692145
SCORE_R,ISRG,2016-05-13,41,2016-07-11,2016-07-12,rollback,0.06954051786669879
SCORE_R,RTN,2016-07-06,6,2016-07-12,2016-07-13,rollback,0.013984477961634045
SCORE_R,STZ,2016-06-15,21,2016-07-13,2016-07-14,rollback,0.04047709681512468
SCORE_R,SHW,2016-05-13,45,2016-07-15,2016-07-18,rollback,0.03064225973475132
SCORE_R,CBS,2016-06-21,19,2016-07-15,2016-07-18,rollback,0.03461040162872431
SCORE_R,TXN,2016-07-08,9,2016-07-19,2016-07-20,rollback,0.04864344196500214
SCORE_R,KMI,2016-05-18,46,2016-07-21,2016-07-22,rollback,0.1915014164305946
SCORE_R,SEE,2016-06-10,30,2016-07-21,2016-07-22,rollback,0.04117772562406663
SCORE_R,V,2016-07-12,9,2016-07-21,2016-07-22,rollback,0.04303599374021849
SCORE_R,WYNN,2016-07-19,8,2016-07-27,2016-07-28,rollback,0.06791666666666663
SCORE_R,VLO,2016-07-20,13,2016-08-04,2016-08-05,rollback,0.0432824128476299
SCORE_R,WU,2016-08-05,3,2016-08-08,2016-08-09,rollback,0.00626204238920991
SCORE_R,MRO,2016-05-23,65,2016-08-22,2016-08-23,rollback,0.22222222222222188
SCORE_R,AABA,2016-06-10,53,2016-08-23,2016-08-24,rollback,0.1495807411414647
SCORE_R,DE,2016-07-14,36,2016-08-31,2016-09-01,rollback,0.011007418042593642
SCORE_R,MOS,2016-08-09,18,2016-08-31,2016-09-01,rollback,0.05671010919337771
SCORE_R,APTV,2016-08-24,7,2016-08-31,2016-09-01,rollback,0.04196625091709483
SCORE_R,NEE,2016-07-22,47,2016-09-26,2016-09-27,rollback,-0.0071869385204273994
SCORE_R,DTE,2016-07-22,48,2016-09-27,2016-09-28,rollback,-0.02899582867026207
SCORE_R,ED,2016-07-22,48,2016-09-27,2016-09-28,rollback,-0.023436520867276878
SCORE_R,LUV,2016-09-28,6,2016-10-04,2016-10-05,rollback,0.012717363093693201
SCORE_R,FSLR,2016-07-18,71,2016-10-24,2016-10-25,rollback,-0.144616026711185
SCORE_R,FOXA,2016-09-28,20,2016-10-24,2016-10-25,rollback,0.05351996706463602
SCORE_R,SYF,2016-09-01,39,2016-10-25,2016-10-26,rollback,0.020122170319799126
SCORE_R,HBAN,2016-10-05,19,2016-10-28,2016-10-31,rollback,0.05840886203424045
SCORE_R,SLG,2016-09-01,55,2016-11-16,2016-11-17,rollback,-0.1157735596087649
SCORE_R,UTX,2016-10-31,16,2016-11-18,2016-11-21,rollback,0.047446328791294956
SCORE_R,MAS,2016-09-27,43,2016-11-23,2016-11-25,rollback,-0.05178466939730775
SCORE_R,WY,2016-09-01,62,2016-11-28,2016-11-29,rollback,-0.01885606536769402
SCORE_R,MU,2016-10-26,25,2016-11-29,2016-11-30,rollback,0.13179190751445136
SCORE_R,COP,2016-11-21,9,2016-12-01,2016-12-02,rollback,0.05280455740578405
SCORE_R,MON,2016-11-17,16,2016-12-08,2016-12-09,rollback,0.042014302741358645
SCORE_R,RF,2016-07-13,108,2016-12-12,2016-12-13,rollback,0.6374999999999977
SCORE_R,AES,2016-11-29,13,2016-12-14,2016-12-15,rollback,0.0
SCORE_R,PCG,2016-12-09,5,2016-12-14,2016-12-15,rollback,0.004561581348200949
SCORE_R,DTE,2016-12-02,11,2016-12-15,2016-12-16,rollback,0.024268757948282982
SCORE_R,BSX,2016-07-29,107,2016-12-28,2016-12-29,rollback,-0.11015207562679741
SCORE_R,STJ,2016-11-25,27,2017-01-04,2017-01-04,delisted,0.007228315054835788
SCORE_R,AMZN,2016-10-25,58,2017-01-17,2017-01-18,rollback,-0.03550577862504534
SCORE_R,CERN,2016-12-16,25,2017-01-23,2017-01-24,rollback,0.035169749949176765
SCORE_R,WMT,2016-12-13,42,2017-02-10,2017-02-13,rollback,-0.04674340728338178
SCORE_R,STZ,2016-12-29,32,2017-02-13,2017-02-14,rollback,0.015516564095849006
SCORE_R,HD,2017-01-18,23,2017-02-16,2017-02-17,rollback,0.04017660044150073
SCORE_R,FE,2016-12-16,46,2017-02-22,2017-02-23,rollback,-0.010543130990415595
SCORE_R,NLSN,2016-08-23,130,2017-02-27,2017-02-28,rollback,-0.16538244690847625
SCORE_R,SO,2017-02-23,6,2017-03-01,2017-03-02,rollback,0.015918367346938522
SCORE_R,KO,2017-01-24,30,2017-03-06,2017-03-07,rollback,0.012780323125150872
SCORE_R,ABBV,2016-11-30,77,2017-03-21,2017-03-22,rollback,0.06084699010222283
SCORE_R,FTI,2017-02-28,32,2017-04-11,2017-04-12,rollback,0.03286240786240846
SCORE_R,AAL,2017-02-13,53,2017-04-27,2017-04-28,rollback,-0.05455326460481058
SCORE_R,ANDV,2017-04-12,22,2017-05-11,2017-05-12,rollback,-0.005356708059410353
SCORE_R,MPC,2017-04-28,14,2017-05-16,2017-05-17,rollback,0.009158222915042424
SCORE_R,XLNX,2017-02-14,66,2017-05-17,2017-05-18,rollback,0.08633456748569412
SCORE_R,F,2017-01-05,104,2017-06-02,2017-06-05,rollback,-0.14004542013626076
SCORE_R,NI,2017-05-18,16,2017-06-08,2017-06-09,rollback,0.05669679539852068
SCORE_R,AMD,2017-05-17,18,2017-06-09,2017-06-12,rollback,-0.005080440304827016
SCORE_R,KR,2017-02-17,80,2017-06-12,2017-06-13,rollback,-0.1106194690265484
SCORE_R,HST,2017-06-05,13,2017-06-20,2017-06-21,rollback,0.04297520661157028
SCORE_R,JPM,2017-06-09,9,2017-06-20,2017-06-21,rollback,0.02303824114138653
SCORE_R,MRK,2017-06-21,5,2017-06-26,2017-06-27,rollback,0.02648698884758338
SCORE_R,ADBE,2017-06-21,6,2017-06-27,2017-06-28,rollback,-0.014267990074441794
SCORE_R,BAC,2017-06-12,16,2017-06-30,2017-07-03,rollback,0.02686817800167951
SCORE_R,WMB,2017-03-02,88,2017-07-05,2017-07-06,rollback,0.06942496493688699
