ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
BAC,2017-08-25,23.89,13184.87,1.0,-0.0265,2017-07-26,2017-09-26,24.83,0.022,602.81
GE,2017-09-06,124.0552,13175.7,1.0,-0.02813,2017-09-05,2017-09-27,124.6032,-0.0,26.37
AES,2017-10-04,11.17,13537.3,1.0,-0.03003,2017-08-09,2018-01-25,11.15,-0.0149,-372.37
CMG,2017-10-10,6.0842,13576.27,1.0,-0.03003,2017-09-05,2017-12-15,6.256,0.0032,112.86
CSX,2017-10-16,17.6,13882.78,1.0,-0.03003,2017-08-15,2018-01-11,19.54,0.1294,3539.56
M,2018-02-13,24.14,14818.8,1.0,-0.02571,2018-01-11,2018-03-09,29.31,0.1812,5416.86
CELG,2018-02-21,93.9,15586.91,1.0,-0.02571,2018-01-29,2018-07-12,83.88,-0.151,-4405.19
PFE,2018-02-22,35.87,15533.95,1.0,-0.02571,2018-01-17,2018-03-01,36.12,-0.0068,-178.32
EXC,2018-02-23,37.36,15588.65,1.0,-0.02571,2018-02-01,2018-03-20,38.29,0.0083,290.75
NWL,2018-03-08,27.3,16029.71,1.0,-0.03454,2018-02-08,2018-12-06,23.28,-0.1774,-5498.32
KIM,2018-04-10,14.33,15575.75,1.0,-0.04025,2018-03-01,2018-05-01,14.52,-0.0066,-175.54
F,2018-05-01,11.25,15971.97,1.0,-0.03799,2018-04-27,2018-06-12,12.07,0.0648,2104.52
CMCSA,2018-05-16,32.13,15945.87,1.0,-0.03799,2018-04-26,2018-06-19,32.17,-0.0314,-968.83
GE,2018-08-27,62.2024,17188.72,1.0,-0.03565,2018-08-01,2018-10-12,62.4512,-0.0363,-1205.47
F,2018-08-31,9.64,17224.06,1.0,-0.03565,2018-08-28,2018-11-12,9.38,-0.0493,-1672.1
FITB,2018-10-05,28.5,16584.99,1.0,-0.03661,2018-08-17,2018-11-13,27.59,-0.0538,-1768.25
SO,2018-10-12,43.49,16091.87,1.0,-0.03661,2018-09-07,2018-10-24,44.92,0.0103,372.9
PFE,2018-10-24,43.81,15676.7,1.0,-0.03661,2018-10-22,2018-12-06,44.58,0.0093,324.94
