run,ticker,entry_date,entry_px,shares,last_date,exit_date,exit_px,reason
RANKVOL_BENCH_N10,ATVI,2016-02-25,31.98,311.365,2016-04-05,2016-04-06,33.89,rollback
RANKVOL_BENCH_N10,V,2016-03-17,72.28,143.0051,2016-04-22,2016-04-25,78.69,rollback
RANKVOL_BENCH_N10,GME,2016-03-30,7.8925,1191.9597,2016-04-22,2016-04-25,8.17,index_drop
RANKVOL_BENCH_N10,MRO,2016-04-07,10.88,975.603,2016-04-25,2016-04-26,14.09,rollback
RANKVOL_BENCH_N10,PFE,2016-03-14,30.27,339.9847,2016-04-26,2016-04-27,32.98,rollback
RANKVOL_BENCH_N10,HAL,2016-04-07,35.97,295.0801,2016-05-03,2016-05-04,40.13,rollback
RANKVOL_BENCH_N10,WMT,2016-03-22,22.6667,460.3875,2016-05-23,2016-05-24,23.2167,rollback
RANKVOL_BENCH_N10,WFM,2016-05-06,29.95,354.802,2016-05-27,2016-05-31,31.96,rollback
RANKVOL_BENCH_N10,KR,2016-03-14,38.43,267.781,2016-06-02,2016-06-03,36.2,rollback
RANKVOL_BENCH_N10,MU,2016-04-27,11.34,963.9411,2016-06-09,2016-06-10,12.32,rollback
RANKVOL_BENCH_N10,FE,2016-04-28,32.67,335.2745,2016-06-10,2016-06-13,33.68,rollback
RANKVOL_BENCH_N10,T,2016-05-31,39.03,285.0458,2016-07-07,2016-07-08,42.13,rollback
RANKVOL_BENCH_N10,ATVI,2016-06-15,38.46,284.3381,2016-07-07,2016-07-08,40.64,rollback
RANKVOL_BENCH_N10,HST,2016-06-03,15.72,709.1639,2016-07-13,2016-07-14,16.58,rollback
RANKVOL_BENCH_N10,DAL,2016-03-17,48.58,212.4416,2016-07-21,2016-07-22,39.07,rollback
RANKVOL_BENCH_N10,GOOG,2016-02-29,35.016,285.9972,2016-07-26,2016-07-27,36.914,rollback
RANKVOL_BENCH_N10,EBAY,2016-04-28,25.09,436.6087,2016-08-09,2016-08-10,31.11,rollback
RANKVOL_BENCH_N10,AAPL,2016-07-08,24.1225,459.1314,2016-08-11,2016-08-12,26.945,rollback
RANKVOL_BENCH_N10,AABA,2016-06-10,36.97,298.6767,2016-08-23,2016-08-24,42.5,rollback
RANKVOL_BENCH_N10,WFC,2016-08-12,48.05,245.1974,2016-09-06,2016-09-07,49.79,rollback
RANKVOL_BENCH_N10,NEE,2016-07-22,32.0025,360.1073,2016-09-26,2016-09-27,31.7725,rollback
RANKVOL_BENCH_N10,PG,2016-03-03,82.54,124.5109,2016-10-03,2016-10-04,88.29,rollback
RANKVOL_BENCH_N10,FAST,2016-04-28,11.7725,930.4707,2016-10-07,2016-10-10,10.6175,rollback
RANKVOL_BENCH_N10,KLAC,2016-10-04,7.036,1688.5191,2016-10-11,2016-10-12,7.23,rollback
RANKVOL_BENCH_N10,KR,2016-10-12,30.24,389.9382,2016-10-13,2016-10-14,31.17,rollback
RANKVOL_BENCH_N10,FOXA,2016-07-14,28.18,403.5865,2016-10-24,2016-10-25,25.59,rollback
RANKVOL_BENCH_N10,GOOGL,2016-09-07,40.3965,293.1412,2016-10-25,2016-10-26,41.356,rollback
RANKVOL_BENCH_N10,SBUX,2016-08-24,57.0,207.2234,2016-11-09,2016-11-10,54.64,rollback
RANKVOL_BENCH_N10,WMT,2016-08-10,24.5233,476.8963,2016-11-14,2016-11-15,23.5967,rollback
RANKVOL_BENCH_N10,CMG,2016-09-27,8.39,1389.5051,2016-11-15,2016-11-16,7.98,rollback
RANKVOL_BENCH_N10,FCX,2016-10-26,10.45,1114.0402,2016-11-17,2016-11-18,13.79,rollback
RANKVOL_BENCH_N10,BMY,2016-10-10,50.79,234.582,2016-11-22,2016-11-23,56.05,rollback
RANKVOL_BENCH_N10,C,2016-05-24,45.45,237.4858,2016-11-28,2016-11-29,55.5,rollback
RANKVOL_BENCH_N10,ORLY,2016-10-14,18.6733,629.6699,2016-11-30,2016-12-01,18.2413,rollback
RANKVOL_BENCH_N10,CMCSA,2016-11-10,31.765,385.4659,2016-12-02,2016-12-05,34.51,rollback
RANKVOL_BENCH_N10,CVS,2016-12-01,76.62,161.6375,2016-12-08,2016-12-09,78.88,rollback
RANKVOL_BENCH_N10,AVGO,2016-12-09,18.095,694.455,2016-12-12,2016-12-13,17.874,rollback
RANKVOL_BENCH_N10,KO,2016-11-29,41.52,297.0225,2016-12-13,2016-12-14,41.89,rollback
RANKVOL_BENCH_N10,XOM,2016-11-16,86.74,135.7702,2016-12-19,2016-12-20,90.51,rollback
RANKVOL_BENCH_N10,PFE,2016-12-13,32.81,383.803,2016-12-21,2016-12-22,32.29,rollback
RANKVOL_BENCH_N10,BSX,2016-07-29,24.33,476.3341,2016-12-28,2016-12-29,21.65,rollback
RANKVOL_BENCH_N10,NKE,2016-11-18,51.39,242.2441,2017-01-09,2017-01-10,53.55,rollback
RANKVOL_BENCH_N10,AMZN,2016-10-25,41.965,280.3,2017-01-17,2017-01-18,40.475,rollback
RANKVOL_BENCH_N10,NFLX,2016-12-05,12.073,1017.6003,2017-01-20,2017-01-23,13.865,rollback
RANKVOL_BENCH_N10,FB,2016-12-14,120.0,105.337,2017-01-31,2017-02-01,132.25,rollback
RANKVOL_BENCH_N10,LRCX,2016-12-20,10.819,1155.8498,2017-01-31,2017-02-01,11.591,rollback
RANKVOL_BENCH_N10,PG,2017-01-18,84.8,149.7101,2017-02-06,2017-02-07,87.64,rollback
RANKVOL_BENCH_N10,KLAC,2016-12-22,7.898,1585.6418,2017-02-09,2017-02-10,8.696,rollback
RANKVOL_BENCH_N10,HPQ,2016-07-08,13.05,848.647,2017-02-15,2017-02-16,15.99,rollback
RANKVOL_BENCH_N10,COG,2017-01-03,22.98,539.0127,2017-02-16,2017-02-17,23.01,rollback
RANKVOL_BENCH_N10,HBAN,2017-01-10,13.35,948.5339,2017-02-16,2017-02-17,14.02,rollback
RANKVOL_BENCH_N10,BAC,2017-02-10,23.19,559.1533,2017-02-23,2017-02-24,24.12,rollback
RANKVOL_BENCH_N10,EXC,2017-02-01,35.66,361.1349,2017-02-27,2017-02-28,36.47,rollback
RANKVOL_BENCH_N10,ABBV,2017-02-16,61.67,214.1822,2017-03-21,2017-03-22,65.38,rollback
RANKVOL_BENCH_N10,LRCX,2017-02-22,11.763,1119.3054,2017-03-21,2017-03-22,12.408,rollback
RANKVOL_BENCH_N10,INTC,2017-01-23,37.07,344.8228,2017-04-28,2017-05-01,36.11,rollback
RANKVOL_BENCH_N10,EW,2017-02-02,30.72,414.7387,2017-05-11,2017-05-12,36.6967,rollback
RANKVOL_BENCH_N10,QCOM,2016-11-23,68.33,182.6973,2017-05-25,2017-05-26,57.66,rollback
RANKVOL_BENCH_N10,F,2017-02-28,12.63,1042.6996,2017-06-02,2017-06-05,11.36,rollback
RANKVOL_BENCH_N10,PHM,2017-05-12,23.0,560.2479,2017-06-05,2017-06-06,23.21,rollback
RANKVOL_BENCH_N10,NEE,2017-03-22,33.0025,392.7926,2017-06-08,2017-06-09,35.275,rollback
RANKVOL_BENCH_N10,AMD,2017-05-02,11.73,1103.2197,2017-06-09,2017-06-12,11.75,rollback
RANKVOL_BENCH_N10,BAC,2017-06-12,23.82,537.6331,2017-06-30,2017-07-03,24.46,rollback
RANKVOL_BENCH_N10,WMB,2017-02-07,28.93,448.4152,2017-07-05,2017-07-06,30.5,rollback
RANKVOL_BENCH_N10,RF,2017-06-09,14.14,908.5631,2017-07-05,2017-07-06,14.84,rollback
RANKVOL_BENCH_N10,GILD,2017-06-06,65.19,195.6905,2017-07-06,2017-07-07,69.69,rollback
RANKVOL_BENCH_N10,PYPL,2017-07-06,54.22,236.5214,2017-07-11,2017-07-12,56.6,rollback
RANKVOL_BENCH_N10,RIG,2017-02-24,13.99,939.429,2017-07-20,2017-07-21,8.74,rollback
RANKVOL_BENCH_N10,HPE,2017-07-06,16.85,761.1177,2017-07-24,2017-07-25,17.84,rollback
RANKVOL_BENCH_N10,AVGO,2017-07-10,24.051,526.1525,2017-07-27,2017-07-28,24.892,rollback
RANKVOL_BENCH_N10,KMI,2016-11-15,21.5,574.382,2017-08-01,2017-08-02,20.2,rollback
RANKVOL_BENCH_N10,NEM,2017-03-22,34.23,378.688,2017-08-04,2017-08-07,36.15,rollback
RANKVOL_BENCH_N10,T,2017-02-21,41.37,318.1595,2017-08-08,2017-08-09,38.2,rollback
RANKVOL_BENCH_N10,TJX,2017-07-03,36.325,351.9913,2017-08-09,2017-08-10,35.345,rollback
RANKVOL_BENCH_N10,HBI,2017-08-03,23.76,558.7451,2017-08-09,2017-08-10,24.11,rollback
RANKVOL_BENCH_N10,INTC,2017-05-26,36.26,351.4383,2017-08-10,2017-08-11,36.26,rollback
RANKVOL_BENCH_N10,VZ,2017-07-21,44.23,295.7539,2017-08-15,2017-08-16,48.37,rollback
RANKVOL_BENCH_N10,LRCX,2017-08-16,16.145,820.5671,2017-08-23,2017-08-24,16.221,rollback
RANKVOL_BENCH_N10,MU,2017-07-12,31.77,406.1635,2017-08-24,2017-08-25,30.3,rollback
RANKVOL_BENCH_N10,MSFT,2017-08-15,73.59,179.8648,2017-09-01,2017-09-05,73.34,rollback
RANKVOL_BENCH_N10,SPLS,2017-08-15,10.2,1297.5423,2017-09-12,2017-09-12,10.25,delisted
RANKVOL_BENCH_N10,FAST,2017-06-05,11.0675,1150.5157,2017-09-19,2017-09-20,11.1075,rollback
RANKVOL_BENCH_N10,BAC,2017-07-26,24.67,533.2719,2017-09-25,2017-09-26,24.83,rollback
RANKVOL_BENCH_N10,GPS,2017-08-25,23.39,562.536,2017-10-03,2017-10-04,29.04,rollback
RANKVOL_BENCH_N10,HPE,2017-09-26,14.74,928.5947,2017-10-03,2017-10-04,14.7,rollback
RANKVOL_BENCH_N10,HPQ,2017-08-25,19.54,673.4071,2017-10-09,2017-10-10,20.6165,rollback
RANKVOL_BENCH_N10,WFC,2017-09-13,51.39,260.7298,2017-10-09,2017-10-10,55.37,rollback
RANKVOL_BENCH_N10,AAPL,2017-10-10,39.0138,356.8172,2017-10-19,2017-10-20,39.1525,rollback
RANKVOL_BENCH_N10,WMT,2017-10-10,27.56,505.0835,2017-10-30,2017-10-31,28.9533,rollback
RANKVOL_BENCH_N10,NRG,2017-09-20,24.67,552.0783,2017-11-09,2017-11-10,27.75,rollback
RANKVOL_BENCH_N10,SBUX,2017-07-28,55.23,240.5947,2017-11-13,2017-11-14,56.47,rollback
RANKVOL_BENCH_N10,AVGO,2017-08-08,25.198,529.8672,2017-11-13,2017-11-14,26.33,rollback
RANKVOL_BENCH_N10,NWL,2017-10-04,43.05,319.3285,2017-12-05,2017-12-06,31.7,rollback
RANKVOL_BENCH_N10,F,2017-11-01,12.4,1082.0819,2017-12-05,2017-12-06,12.4,rollback
RANKVOL_BENCH_N10,T,2017-11-14,34.19,382.3455,2017-12-06,2017-12-07,36.13,rollback
RANKVOL_BENCH_N10,CMCSA,2017-11-10,36.5,358.7215,2017-12-07,2017-12-08,38.5,rollback
RANKVOL_BENCH_N10,TJX,2017-11-14,33.8,386.7379,2017-12-08,2017-12-11,36.87,rollback
RANKVOL_BENCH_N10,CMG,2017-09-05,6.386,2071.7752,2017-12-14,2017-12-15,6.256,rollback
RANKVOL_BENCH_N10,VZ,2017-10-20,49.45,284.4574,2017-12-20,2017-12-21,52.81,rollback
RANKVOL_BENCH_N10,GOOGL,2017-12-08,52.5905,264.5003,2017-12-20,2017-12-21,53.7695,rollback
RANKVOL_BENCH_N10,GOOG,2017-12-08,51.8745,268.1376,2017-12-21,2017-12-22,53.0555,rollback
RANKVOL_BENCH_N10,MU,2017-12-21,45.55,317.2004,2018-01-08,2018-01-09,45.27,rollback
RANKVOL_BENCH_N10,AMD,2017-10-04,13.31,1032.8911,2018-01-09,2018-01-10,11.63,rollback
RANKVOL_BENCH_N10,FCX,2017-12-07,14.2,972.0091,2018-01-09,2018-01-10,19.07,rollback
RANKVOL_BENCH_N10,CSX,2017-08-15,16.9633,780.2487,2018-01-10,2018-01-11,19.54,rollback
RANKVOL_BENCH_N10,GLW,2017-12-11,32.4,430.2287,2018-01-10,2018-01-11,33.44,rollback
RANKVOL_BENCH_N10,AMAT,2017-12-21,53.18,271.6765,2018-01-10,2018-01-11,53.47,rollback
RANKVOL_BENCH_N10,TJX,2018-01-11,38.075,395.8019,2018-01-16,2018-01-17,38.36,rollback
RANKVOL_BENCH_N10,AES,2017-08-09,11.45,1157.8469,2018-01-24,2018-01-25,11.15,rollback
RANKVOL_BENCH_N10,COP,2017-12-06,51.07,272.5582,2018-01-25,2018-01-26,59.7,rollback
RANKVOL_BENCH_N10,PM,2018-01-18,105.46,146.8167,2018-01-25,2018-01-26,107.36,rollback
RANKVOL_BENCH_N10,C,2017-12-22,75.89,189.5109,2018-01-30,2018-01-31,78.78,rollback
RANKVOL_BENCH_N10,MGM,2018-01-10,33.44,449.2974,2018-01-31,2018-02-01,36.49,rollback
RANKVOL_BENCH_N10,T,2018-01-29,37.13,433.1723,2018-02-02,2018-02-05,37.81,rollback
RANKVOL_BENCH_N10,NEE,2018-01-26,38.715,411.1948,2018-02-05,2018-02-06,37.9575,rollback
RANKVOL_BENCH_N10,NFLX,2017-12-18,19.12,742.4113,2018-02-20,2018-02-21,28.207,rollback
RANKVOL_BENCH_N10,BA,2018-02-13,340.45,43.9681,2018-02-20,2018-02-21,352.56,rollback
RANKVOL_BENCH_N10,MU,2018-01-18,44.21,350.2389,2018-02-21,2018-02-22,44.78,rollback
RANKVOL_BENCH_N10,BMY,2018-01-11,61.99,243.0941,2018-02-22,2018-02-23,66.17,rollback
RANKVOL_BENCH_N10,GOOGL,2018-02-22,55.9585,279.361,2018-02-27,2018-02-28,56.1,rollback
RANKVOL_BENCH_N10,PFE,2018-01-17,36.82,414.2338,2018-02-28,2018-03-01,36.12,rollback
RANKVOL_BENCH_N10,KLAC,2018-02-21,11.081,1416.9367,2018-03-01,2018-03-02,11.005,rollback
RANKVOL_BENCH_N10,NEE,2018-03-02,38.3,409.0707,2018-03-06,2018-03-07,38.185,rollback
RANKVOL_BENCH_N10,PCG,2018-03-01,41.09,386.9798,2018-03-07,2018-03-08,41.14,rollback
RANKVOL_BENCH_N10,M,2018-01-11,25.47,591.7122,2018-03-08,2018-03-09,29.31,rollback
RANKVOL_BENCH_N10,KO,2018-03-09,44.57,359.858,2018-03-12,2018-03-13,44.67,rollback
RANKVOL_BENCH_N10,SCHW,2018-02-02,54.75,283.8201,2018-03-14,2018-03-15,56.32,rollback
RANKVOL_BENCH_N10,INTC,2018-02-21,46.67,336.4444,2018-03-15,2018-03-16,51.17,rollback
RANKVOL_BENCH_N10,EXC,2018-02-01,38.53,408.8779,2018-03-19,2018-03-20,38.29,rollback
RANKVOL_BENCH_N10,DHI,2018-03-13,44.6,364.1233,2018-04-06,2018-04-09,45.52,rollback
RANKVOL_BENCH_N10,MRK,2018-03-16,55.19,290.6463,2018-04-11,2018-04-12,56.6,rollback
RANKVOL_BENCH_N10,SO,2018-03-02,43.98,356.2215,2018-04-18,2018-04-19,45.35,rollback
RANKVOL_BENCH_N10,NFLX,2018-04-12,30.9719,508.3096,2018-04-23,2018-04-24,31.9217,rollback
RANKVOL_BENCH_N10,HST,2018-03-15,18.96,849.2618,2018-04-24,2018-04-25,19.27,rollback
RANKVOL_BENCH_N10,VZ,2018-03-09,49.2,326.0096,2018-04-26,2018-04-27,50.25,rollback
RANKVOL_BENCH_N10,KIM,2018-02-23,15.06,1037.7092,2018-04-30,2018-05-01,14.52,rollback
RANKVOL_BENCH_N10,ABBV,2018-04-27,97.44,165.7151,2018-04-30,2018-05-01,102.1,rollback
RANKVOL_BENCH_N10,CVX,2018-04-10,117.6,133.0573,2018-05-01,2018-05-02,124.2,rollback
RANKVOL_BENCH_N10,NVDA,2018-03-21,6.233,2541.4097,2018-05-15,2018-05-16,6.1,rollback
RANKVOL_BENCH_N10,ORLY,2018-03-07,16.6213,963.3597,2018-05-18,2018-05-21,18.2567,rollback
RANKVOL_BENCH_N10,WDC,2018-05-16,83.5,197.3388,2018-05-18,2018-05-21,86.63,rollback
RANKVOL_BENCH_N10,MU,2018-04-19,52.9,303.8872,2018-05-31,2018-06-01,58.81,rollback
RANKVOL_BENCH_N10,KO,2018-05-24,42.4,392.811,2018-05-31,2018-06-01,43.1,rollback
RANKVOL_BENCH_N10,F,2018-04-27,11.4,1416.4989,2018-06-11,2018-06-12,12.07,rollback
RANKVOL_BENCH_N10,HBAN,2018-06-04,15.22,1082.8285,2018-06-11,2018-06-12,15.67,rollback
RANKVOL_BENCH_N10,CMCSA,2018-04-24,34.09,463.3943,2018-06-18,2018-06-19,32.17,rollback
RANKVOL_BENCH_N10,CELG,2018-01-29,104.76,128.8449,2018-07-11,2018-07-12,83.88,rollback
RANKVOL_BENCH_N10,FOXA,2018-05-01,36.43,435.9778,2018-07-11,2018-07-12,47.97,rollback
RANKVOL_BENCH_N10,MGM,2018-06-13,31.47,540.9308,2018-07-19,2018-07-20,30.71,rollback
RANKVOL_BENCH_N10,ORCL,2018-05-02,45.89,347.3219,2018-07-26,2018-07-27,48.99,rollback
RANKVOL_BENCH_N10,PM,2018-05-24,81.6,204.0975,2018-07-31,2018-08-01,86.03,rollback
RANKVOL_BENCH_N10,HST,2018-07-20,21.4,807.8071,2018-08-03,2018-08-06,21.56,rollback
RANKVOL_BENCH_N10,WMB,2018-06-19,26.87,625.1848,2018-08-13,2018-08-14,30.76,rollback
RANKVOL_BENCH_N10,TJX,2018-07-12,47.515,365.3309,2018-08-13,2018-08-14,49.8,rollback
RANKVOL_BENCH_N10,CMG,2018-07-12,9.1978,1887.3605,2018-08-16,2018-08-17,10.1008,rollback
RANKVOL_BENCH_N10,GGP,2018-05-01,20.02,793.3799,2018-08-27,2018-08-27,22.06,delisted
RANKVOL_BENCH_N10,MRO,2018-06-12,21.48,785.6837,2018-08-30,2018-08-31,21.51,rollback
RANKVOL_BENCH_N10,NLSN,2018-08-15,25.4,674.5103,2018-08-30,2018-08-31,25.93,rollback
RANKVOL_BENCH_N10,V,2018-08-14,140.3,122.3395,2018-09-17,2018-09-18,146.2,rollback
RANKVOL_BENCH_N10,GILD,2018-08-31,76.32,226.9817,2018-10-04,2018-10-05,76.77,rollback
RANKVOL_BENCH_N10,INTC,2018-09-04,48.38,357.8042,2018-10-04,2018-10-05,48.23,rollback
RANKVOL_BENCH_N10,GE,2018-08-01,67.5344,257.7315,2018-10-11,2018-10-12,62.4512,rollback
RANKVOL_BENCH_N10,SBUX,2018-10-15,56.37,280.611,2018-10-19,2018-10-22,58.93,rollback
RANKVOL_BENCH_N10,F,2018-08-28,10.08,1735.5218,2018-11-09,2018-11-12,9.38,rollback
RANKVOL_BENCH_N10,BAC,2018-10-05,30.6,550.413,2018-11-09,2018-11-12,28.38,rollback
RANKVOL_BENCH_N10,FITB,2018-08-17,29.78,573.9913,2018-11-12,2018-11-13,27.59,rollback
RANKVOL_BENCH_N10,KEY,2018-10-05,20.55,819.5521,2018-11-12,2018-11-13,18.27,rollback
RANKVOL_BENCH_N10,PBCT,2018-11-16,15.96,990.8397,2018-11-19,2018-11-20,15.99,rollback
RANKVOL_BENCH_N10,AMAT,2018-07-27,48.63,362.9409,2018-11-29,2018-11-30,36.47,rollback
RANKVOL_BENCH_N10,NWL,2018-02-08,29.38,520.0741,2018-12-04,2018-12-06,23.28,rollback
RANKVOL_BENCH_N10,PFE,2018-10-22,44.44,354.3828,2018-12-04,2018-12-06,44.58,rollback
RANKVOL_BENCH_N10,KLAC,2018-11-21,9.562,1662.7265,2018-12-04,2018-12-06,9.421,rollback
RANKVOL_BENCH_N10,BAX,2018-11-23,64.96,241.8852,2018-12-04,2018-12-06,66.35,rollback
RANKVOL_BENCH_N10,COTY,2018-09-18,12.33,1372.1694,2019-01-09,2019-01-10,7.29,rollback
RANKVOL_BENCH_N10,FB,2018-12-07,139.25,113.9353,2019-01-11,2019-01-14,142.0,rollback
RANKVOL_BENCH_N10,TXN,2018-11-21,97.75,162.6414,2019-01-14,2019-01-15,96.99,rollback
RANKVOL_BENCH_N10,ANET,2018-12-07,14.8863,1065.7249,2019-01-16,2019-01-17,13.7369,rollback
RANKVOL_BENCH_N10,HPQ,2018-12-07,23.9,663.7618,2019-01-22,2019-01-23,21.41,rollback
RANKVOL_BENCH_N10,CSX,2019-01-10,21.27,714.3348,2019-01-22,2019-01-23,22.0267,rollback
RANKVOL_BENCH_N10,ABT,2019-01-14,68.41,222.9514,2019-01-23,2019-01-24,70.0,rollback
RANKVOL_BENCH_N10,WMB,2018-11-20,25.11,631.3034,2019-02-05,2019-02-06,27.15,rollback
RANKVOL_BENCH_N10,KMI,2018-08-07,18.05,978.0264,2019-02-06,2019-02-07,18.02,rollback
RANKVOL_BENCH_N10,ORLY,2019-01-15,22.75,675.088,2019-02-06,2019-02-07,24.1067,rollback
RANKVOL_BENCH_N10,AAPL,2019-01-28,38.9475,392.0275,2019-02-11,2019-02-12,42.525,rollback
RANKVOL_BENCH_N10,WDC,2019-01-25,45.5,341.316,2019-02-15,2019-02-19,48.42,rollback
RANKVOL_BENCH_N10,WMT,2019-02-08,32.1133,490.5857,2019-02-20,2019-02-21,33.22,rollback
RANKVOL_BENCH_N10,KEY,2019-02-08,17.01,926.2266,2019-02-21,2019-02-22,17.71,rollback
RANKVOL_BENCH_N10,MDT,2019-01-18,88.52,177.1109,2019-02-25,2019-02-26,92.25,rollback
RANKVOL_BENCH_N10,BMY,2018-12-07,53.23,298.0108,2019-03-06,2019-03-07,52.7,rollback
RANKVOL_BENCH_N10,WFC,2019-02-26,49.49,326.2625,2019-03-19,2019-03-20,51.19,rollback
RANKVOL_BENCH_N10,NVDA,2019-02-13,3.809,4240.7387,2019-03-20,2019-03-21,4.3833,rollback
RANKVOL_BENCH_N10,AMZN,2019-02-06,83.5375,191.8979,2019-03-22,2019-03-25,87.8895,rollback
RANKVOL_BENCH_N10,AMD,2019-03-20,26.49,622.3762,2019-03-22,2019-03-25,26.29,rollback
RANKVOL_BENCH_N10,DHI,2019-03-08,40.34,386.299,2019-03-26,2019-03-27,42.14,rollback
RANKVOL_BENCH_N10,FCX,2019-03-21,12.71,1284.5059,2019-04-05,2019-04-08,13.45,rollback
RANKVOL_BENCH_N10,F,2019-03-27,8.75,1862.9398,2019-04-15,2019-04-16,9.32,rollback
RANKVOL_BENCH_N10,BKNG,2018-06-01,84.8396,194.4125,2019-04-16,2019-04-17,73.9452,rollback
RANKVOL_BENCH_N10,BAC,2019-02-19,28.93,567.6795,2019-04-22,2019-04-23,29.99,rollback
RANKVOL_BENCH_N10,HRB,2019-02-22,24.66,657.3563,2019-04-23,2019-04-24,26.35,rollback
RANKVOL_BENCH_N10,WMT,2019-04-08,32.8167,495.8744,2019-04-26,2019-04-29,33.96,rollback
RANKVOL_BENCH_N10,NEE,2019-04-16,47.765,346.4755,2019-05-01,2019-05-02,48.21,rollback
RANKVOL_BENCH_N10,FB,2019-03-27,167.85,97.11,2019-05-02,2019-05-03,194.38,rollback
RANKVOL_BENCH_N10,JNJ,2019-04-17,139.0,123.8998,2019-05-02,2019-05-03,141.29,rollback
RANKVOL_BENCH_N10,CVS,2019-01-24,65.5,235.3829,2019-05-03,2019-05-06,55.97,rollback
RANKVOL_BENCH_N10,GE,2019-04-29,47.6984,366.6042,2019-05-07,2019-05-08,50.24,rollback
RANKVOL_BENCH_N10,QCOM,2018-11-30,58.22,278.7898,2019-05-08,2019-05-09,83.37,rollback
RANKVOL_BENCH_N10,PFE,2019-05-03,41.22,429.538,2019-05-17,2019-05-20,41.4,rollback
RANKVOL_BENCH_N10,COTY,2019-05-06,11.26,1544.3434,2019-05-22,2019-05-23,13.03,rollback
RANKVOL_BENCH_N10,DWDP,2019-02-21,56.28,290.222,2019-05-31,2019-05-31,30.52,delisted
RANKVOL_BENCH_N10,AMD,2019-05-03,28.3,625.7006,2019-06-12,2019-06-13,32.39,rollback
RANKVOL_BENCH_N10,AMAT,2019-05-20,41.8,410.8953,2019-06-12,2019-06-13,41.61,rollback
RANKVOL_BENCH_N10,CMG,2019-05-03,14.1514,1251.2149,2019-06-13,2019-06-14,14.6776,rollback
RANKVOL_BENCH_N10,CVX,2019-05-10,121.17,140.882,2019-06-19,2019-06-20,124.31,rollback
RANKVOL_BENCH_N10,CTL,2019-03-27,12.25,1330.5383,2019-06-21,2019-06-24,11.38,rollback
RANKVOL_BENCH_N10,STX,2019-05-09,48.21,354.241,2019-06-25,2019-06-26,47.24,rollback
RANKVOL_BENCH_N10,WMT,2019-05-23,33.94,492.7302,2019-06-26,2019-06-27,36.6867,rollback
RANKVOL_BENCH_N10,NVDA,2019-06-14,3.6128,4893.9915,2019-07-02,2019-07-03,4.0793,rollback
RANKVOL_BENCH_N10,JCI,2019-06-13,39.82,443.1437,2019-07-08,2019-07-09,41.66,rollback
RANKVOL_BENCH_N10,ANET,2019-06-27,16.0494,1138.5167,2019-07-08,2019-07-09,16.6244,rollback
RANKVOL_BENCH_N10,ORLY,2019-07-03,25.5333,729.5685,2019-07-19,2019-07-22,26.5413,rollback
RANKVOL_BENCH_N10,EW,2019-07-10,63.01,297.7995,2019-08-05,2019-08-06,70.4867,rollback
RANKVOL_BENCH_N10,APC,2019-06-27,70.69,258.475,2019-08-08,2019-08-08,72.77,delisted
RANKVOL_BENCH_N10,NEE,2019-08-07,52.8475,332.5602,2019-08-14,2019-08-15,53.6575,rollback
RANKVOL_BENCH_N10,F,2019-06-14,10.01,1766.2466,2019-09-10,2019-09-11,9.29,rollback
RANKVOL_BENCH_N10,AAPL,2019-08-19,52.655,338.5022,2019-09-13,2019-09-16,54.4325,rollback
