run,date,equity,n_pos,units,drawn,gross
ONE_BOOK,2021-04-28,474268.5,12,13,132310.03,606578.53
ONE_BOOK,2021-04-29,469125.75,12,13,132318.28,601444.03
ONE_BOOK,2021-04-30,464892.41,12,13,132326.52,597218.93
ONE_BOOK,2021-05-03,465326.15,11,13,127356.99,592683.15
ONE_BOOK,2021-05-04,461570.96,11,13,127364.88,588935.84
ONE_BOOK,2021-05-05,465437.31,10,12,81323.43,546760.75
ONE_BOOK,2021-05-06,469452.88,10,12,80453.28,549906.16
ONE_BOOK,2021-05-07,478042.59,11,13,127317.96,605360.55
ONE_BOOK,2021-05-10,469619.36,11,13,127780.35,597399.71
ONE_BOOK,2021-05-11,467618.42,10,12,76139.26,543757.67
ONE_BOOK,2021-05-12,454206.18,9,12,74129.27,528335.46
ONE_BOOK,2021-05-13,461072.53,9,13,119829.86,580902.39
ONE_BOOK,2021-05-14,474409.72,9,13,118535.28,592945.0
ONE_BOOK,2021-05-17,479373.44,9,13,118542.62,597916.06
ONE_BOOK,2021-05-18,477510.79,9,13,118549.96,596060.75
ONE_BOOK,2021-05-19,476263.08,9,13,117958.93,594222.01
ONE_BOOK,2021-05-20,483887.5,9,13,117966.23,601853.73
ONE_BOOK,2021-05-21,489129.44,9,13,117973.53,607102.97
ONE_BOOK,2021-05-24,492829.34,9,13,117980.83,610810.18
ONE_BOOK,2021-05-25,492823.7,9,13,117988.14,610811.83
ONE_BOOK,2021-05-26,502776.06,9,13,119795.29,622571.34
ONE_BOOK,2021-05-27,510085.14,9,13,119802.7,629887.84
ONE_BOOK,2021-05-28,509899.25,9,13,119810.12,629709.37
ONE_BOOK,2021-06-01,514194.53,9,13,119817.63,634012.16
ONE_BOOK,2021-06-02,521426.17,9,13,119825.14,641251.31
ONE_BOOK,2021-06-03,531791.97,9,13,119832.65,651624.63
ONE_BOOK,2021-06-04,538865.43,8,12,67416.7,606282.13
ONE_BOOK,2021-06-07,536727.53,9,13,121412.12,658139.65
ONE_BOOK,2021-06-08,534355.79,9,12,78852.92,613208.72
ONE_BOOK,2021-06-09,531626.34,10,13,132410.2,664036.54
ONE_BOOK,2021-06-10,534489.18,10,13,132418.5,666907.68
ONE_BOOK,2021-06-11,536628.55,10,13,132788.87,669417.42
ONE_BOOK,2021-06-14,531342.25,9,12,77151.1,608493.35
ONE_BOOK,2021-06-15,528093.71,8,9,0.0,447487.22
ONE_BOOK,2021-06-16,524673.53,11,12,78150.61,602824.14
ONE_BOOK,2021-06-17,531178.9,11,13,130457.25,661636.15
ONE_BOOK,2021-06-18,522456.76,11,13,130465.43,652922.19
ONE_BOOK,2021-06-21,527298.59,11,13,130473.61,657772.2
ONE_BOOK,2021-06-22,533546.0,11,13,130481.79,664027.79
ONE_BOOK,2021-06-23,532868.75,11,13,130489.97,663358.72
ONE_BOOK,2021-06-24,535922.88,11,13,130143.47,666066.35
ONE_BOOK,2021-06-25,536994.65,11,13,127386.75,664381.39
ONE_BOOK,2021-06-28,535871.0,11,13,127394.73,663265.73
ONE_BOOK,2021-06-29,536807.84,11,13,127402.72,664210.56
ONE_BOOK,2021-06-30,542356.16,11,13,127410.71,669766.87
ONE_BOOK,2021-07-01,540844.2,11,13,127418.8,668263.0
ONE_BOOK,2021-07-02,541412.9,11,13,121569.43,662982.33
ONE_BOOK,2021-07-06,536079.42,11,13,121577.15,657656.57
ONE_BOOK,2021-07-07,529577.59,11,13,121584.87,651162.47
ONE_BOOK,2021-07-08,525189.67,10,12,67643.07,592832.74
ONE_BOOK,2021-07-09,533791.65,11,13,120563.48,654355.13
ONE_BOOK,2021-07-12,534293.24,11,13,120571.13,654864.38
ONE_BOOK,2021-07-13,527091.21,11,13,120578.79,647670.0
ONE_BOOK,2021-07-14,526818.08,11,13,120586.44,647404.53
ONE_BOOK,2021-07-15,522493.73,11,13,120594.1,643087.83
ONE_BOOK,2021-07-16,516560.22,11,13,120601.76,637161.98
ONE_BOOK,2021-07-19,504874.94,11,13,120609.41,625484.35
ONE_BOOK,2021-07-20,516253.87,11,13,120617.07,636870.94
ONE_BOOK,2021-07-21,525447.04,11,13,120624.73,646071.77
ONE_BOOK,2021-07-22,523103.9,11,13,120632.39,643736.29
ONE_BOOK,2021-07-23,526490.92,11,13,120640.05,647130.96
ONE_BOOK,2021-07-26,529219.33,11,13,120647.71,649867.04
ONE_BOOK,2021-07-27,527005.29,11,13,120655.37,647660.66
ONE_BOOK,2021-07-28,529841.36,11,13,120663.03,650504.39
ONE_BOOK,2021-07-29,532475.89,11,13,120670.69,653146.58
ONE_BOOK,2021-07-30,531426.28,11,13,120678.35,652104.63
ONE_BOOK,2021-08-02,530641.34,11,13,120685.97,651327.31
ONE_BOOK,2021-08-03,536846.97,11,13,120693.58,657540.55
ONE_BOOK,2021-08-04,531948.32,11,13,120701.2,652649.52
ONE_BOOK,2021-08-05,538411.05,10,11,12487.55,550898.6
ONE_BOOK,2021-08-06,540923.77,12,13,122338.66,663262.44
ONE_BOOK,2021-08-09,539916.61,12,13,122346.38,662263.0
ONE_BOOK,2021-08-10,542722.22,12,13,122354.1,665076.32
ONE_BOOK,2021-08-11,547672.46,12,13,122361.82,670034.28
ONE_BOOK,2021-08-12,545477.24,12,13,122369.54,667846.78
ONE_BOOK,2021-08-13,545764.13,11,13,121083.84,666847.97
ONE_BOOK,2021-08-16,542739.11,11,13,121091.47,663830.58
ONE_BOOK,2021-08-17,538181.35,11,13,121099.12,659280.46
ONE_BOOK,2021-08-18,532742.3,10,12,67790.06,600532.36
ONE_BOOK,2021-08-19,535991.01,9,11,18483.7,554474.7
