run,ticker,entry_date,entry_px,shares,exit_date,exit_px,reason,last_date
SCORE_RS_N20,LYB,2022-04-13,103.84,85.3696,2022-04-25,104.61,rollback,2022-04-22
SCORE_RS_N20,PTC,2022-01-13,120.35,80.2305,2022-05-10,108.51,rollback,2022-05-09
SCORE_RS_N20,SLB,2022-04-11,42.64,209.5739,2022-05-19,40.04,rollback,2022-05-18
SCORE_RS_N20,LUMN,2022-05-10,11.16,727.2913,2022-05-19,11.32,rollback,2022-05-18
SCORE_RS_N20,CNC,2022-03-31,85.57,107.2318,2022-05-26,81.99,rollback,2022-05-25
SCORE_RS_N20,RF,2022-04-26,21.36,405.7402,2022-06-02,21.47,rollback,2022-06-01
SCORE_RS_N20,ABT,2022-04-26,118.61,73.0663,2022-06-02,115.29,rollback,2022-06-01
SCORE_RS_N20,FRC,2022-01-12,205.66,46.9331,2022-06-08,151.94,rollback,2022-06-07
SCORE_RS_N20,CERN,2022-04-25,93.67,92.6078,2022-06-07,94.92,delisted,2022-06-07
SCORE_RS_N20,EA,2022-04-25,127.73,67.9117,2022-06-09,138.33,rollback,2022-06-08
SCORE_RS_N20,AVY,2022-06-02,174.25,47.7884,2022-06-09,177.54,rollback,2022-06-08
SCORE_RS_N20,LVS,2022-03-25,39.75,229.8482,2022-06-10,34.44,rollback,2022-06-09
SCORE_RS_N20,PENN,2022-04-05,44.02,207.2828,2022-06-10,33.05,rollback,2022-06-09
SCORE_RS_N20,NKE,2022-04-18,132.0,67.8464,2022-06-10,117.09,rollback,2022-06-09
SCORE_RS_N20,FCX,2022-05-26,37.63,214.1799,2022-06-10,39.2,rollback,2022-06-09
SCORE_RS_N20,HSY,2022-06-13,211.15,37.2656,2022-06-23,216.03,rollback,2022-06-22
SCORE_RS_N20,CME,2022-04-07,244.6,36.5427,2022-06-24,209.12,rollback,2022-06-23
SCORE_RS_N20,BIIB,2022-06-21,204.22,38.4612,2022-06-29,202.07,rollback,2022-06-28
SCORE_RS_N20,MRK,2022-06-23,90.0,88.5612,2022-06-29,92.31,rollback,2022-06-28
SCORE_RS_N20,DRE,2022-06-16,52.31,148.229,2022-06-30,55.02,rollback,2022-06-29
SCORE_RS_N20,BMY,2022-06-08,76.52,109.8841,2022-07-01,76.98,rollback,2022-06-30
SCORE_RS_N20,ETSY,2022-06-03,84.49,99.0435,2022-07-07,85.09,rollback,2022-07-06
SCORE_RS_N20,MRNA,2022-05-20,143.07,56.448,2022-07-14,169.24,rollback,2022-07-13
SCORE_RS_N20,CTXS,2022-04-04,101.2,90.2034,2022-07-15,102.61,rollback,2022-07-14
SCORE_RS_N20,NXPI,2022-07-14,154.75,50.8652,2022-07-19,164.12,rollback,2022-07-18
SCORE_RS_N20,NCLH,2022-04-14,21.64,415.9971,2022-07-22,12.7,rollback,2022-07-21
SCORE_RS_N20,CCL,2022-07-19,10.02,818.8178,2022-07-22,9.9,rollback,2022-07-21
SCORE_RS_N20,NFLX,2021-12-28,61.495,151.1409,2022-07-25,22.131,rollback,2022-07-22
SCORE_RS_N20,ADBE,2022-07-07,382.5,21.2108,2022-07-25,400.11,rollback,2022-07-22
SCORE_RS_N20,MPWR,2022-07-15,403.81,19.7658,2022-07-26,427.4,rollback,2022-07-25
SCORE_RS_N20,F,2022-03-25,16.74,545.7728,2022-07-27,12.75,rollback,2022-07-26
SCORE_RS_N20,TSLA,2022-06-22,234.5033,33.3238,2022-07-27,263.81,rollback,2022-07-26
SCORE_RS_N20,LVS,2022-06-29,34.15,233.2729,2022-07-29,38.22,rollback,2022-07-28
SCORE_RS_N20,SLB,2022-07-25,35.65,236.9881,2022-08-02,36.5,rollback,2022-08-01
SCORE_RS_N20,MRO,2022-07-26,23.62,358.007,2022-08-02,24.05,rollback,2022-08-01
SCORE_RS_N20,TFC,2022-01-03,59.33,156.0822,2022-08-03,50.0,rollback,2022-08-02
SCORE_RS_N20,WBA,2022-03-09,48.51,179.768,2022-08-03,39.48,rollback,2022-08-02
SCORE_RS_N20,TSN,2022-06-29,85.95,92.6826,2022-08-05,86.47,rollback,2022-08-04
SCORE_RS_N20,MDLZ,2022-07-25,62.06,136.133,2022-08-05,64.15,rollback,2022-08-04
SCORE_RS_N20,MRNA,2022-08-04,185.75,48.0096,2022-08-08,185.2,rollback,2022-08-05
SCORE_RS_N20,SCHW,2022-07-22,63.37,135.2477,2022-08-09,68.81,rollback,2022-08-08
SCORE_RS_N20,EPAM,2022-06-24,324.23,25.046,2022-08-10,437.39,rollback,2022-08-09
SCORE_RS_N20,ENPH,2022-06-22,187.0,41.79,2022-08-16,298.88,rollback,2022-08-15
SCORE_RS_N20,IP,2022-08-10,43.22,212.6612,2022-08-16,44.38,rollback,2022-08-15
SCORE_RS_N20,NOW,2022-06-30,94.548,82.8687,2022-08-17,97.8,rollback,2022-08-16
SCORE_RS_N20,VTRS,2022-08-09,10.0301,897.4899,2022-08-17,10.99,rollback,2022-08-16
SCORE_RS_N20,CCL,2022-08-03,9.5,937.1025,2022-08-18,10.56,rollback,2022-08-17
SCORE_RS_N20,DVA,2022-08-05,85.4,104.4708,2022-08-18,89.7,rollback,2022-08-17
